ident;size;scanDuration;chunksTested;matchesAdded;appraisal;Cnt;CntDom;CntCode;CntData;#Blob;#Blob Stream Header;#GUID;#Strings;#Strings Stream Header;#US;#US Stream Header;#~;.data;.idata;.pdata;.rdata;.reloc;.rsrc;.text;0x2e 0x6b 0x66 0x6c 0x78 0x00 0xcc 0xcc ;DotNet Header;_RDATA;a$F-sH-*;methods;unknown
EXE PE.NET;593408;28;263;49;Fragile;41;15;0;41;0;1;0;33;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;593408;22;26;6;One;5;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
EXE PE.NET;593408;32;134;17;Fragile;14;3;1;13;0;1;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
EXE PE64;288256;293;630;217;Fragile;138;3;26;112;0;0;0;0;0;0;0;0;81;31;0;0;0;0;26;0;0;0;0;0;0
EXE PE64;288256;130;63;19;Robust;8;8;7;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;0;0
EXE PE.NET;486400;949;881;323;Fragile;104;78;0;104;10;0;1;10;0;0;0;64;0;0;0;0;0;19;0;0;0;0;0;0;0
EXE PE.NET;486400;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;486400;125;259;51;Fragile;29;29;7;22;0;0;0;7;0;1;0;14;0;0;0;0;0;0;0;0;0;0;0;7;0
EXE PE.NET;1984000;14805;3825;1896;Fragile;24;10;0;24;0;1;1;1;0;1;0;4;0;0;0;0;0;15;0;0;1;0;0;0;0
EXE PE.NET;906752;51;103;20;Fragile;11;5;0;11;0;0;0;5;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;906752;134;222;44;Fragile;24;14;6;18;0;0;0;10;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;6;0
EXE PE.NET;906752;157;246;49;Fragile;24;23;3;21;0;0;0;9;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;3;0
EXE PE.NET;39936;128;304;72;Fragile;35;27;13;22;0;0;0;8;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;13;0
EXE PE.NET;39936;146;304;72;Fragile;35;27;13;22;0;0;0;8;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;13;0
EXE PE.NET;39936;138;304;72;Fragile;35;27;13;22;0;0;0;8;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;13;0
EXE PE.NET;39936;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;611840;451;124;16;Fragile;13;3;1;12;0;1;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
EXE PE.NET;377856;917;456;214;Fragile;21;21;0;21;0;1;1;1;0;0;0;1;0;0;0;0;0;15;0;0;1;0;1;0;0
EXE PE.NET;39936;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;611840;627;206;41;Fragile;22;18;6;16;0;1;0;8;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;6;0
EXE PE32;8099840;0;0;0;Undetected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXE PE.NET;39936;131;311;76;Fragile;34;26;13;21;0;0;0;7;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;13;0
EXE PE.NET;611840;441;126;17;Fragile;13;3;1;12;0;1;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
